2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 299733
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=250] with future log sequence number 297769
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=371] with future log sequence number 297769
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=16, page number=3] with future log sequence number 299743
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=249] with future log sequence number 296625
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 298657
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=314] with future log sequence number 300221
2024-11-12 16:38:22 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=16, page number=3] with future log sequence number 300241
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=7] log sequence number 288046 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=2] log sequence number 170522 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=11] log sequence number 293468 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=8] log sequence number 293508 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=10] log sequence number 293569 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=12] log sequence number 293528 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=47] log sequence number 143845 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=311] log sequence number 143845 is in the future! Current system log sequence number 142435.
